NO,JARINGAN PENGAMATAN,NO STASIUN,LINTANG,BUJUR,DESA,KECAMATAN,KAB/KOTA,PROVINSI,JARINGAN
5220,Pos Hujan,11020601a,3.29773,97.9642,,,Kab. Aceh Tenggara,Nanggroe Aceh Darussalam,PHOBS
5221,Pos Hujan,11020701a,3.716,97.631,,,Kab. Aceh Tenggara,Nanggroe Aceh Darussalam,PHOBS
5222,Pos Hujan,11020801a,3.5,97.83,,,Kab. Aceh Tenggara,Nanggroe Aceh Darussalam,PHOBS
5223,Pos Hujan,11020901a,3.41,97.87,,,Kab. Aceh Tenggara,Nanggroe Aceh Darussalam,PHOBS
5224,Pos Hujan,11021001a,3.39379,97.87763,,,Kab. Aceh Tenggara,Nanggroe Aceh Darussalam,PHOBS
5225,Pos Hujan,11021101a,3.14,97.87,,,Kab. Aceh Tenggara,Nanggroe Aceh Darussalam,PHOBS
5226,Pos Hujan,11021201a,3.6104,97.72976,,,Kab. Aceh Tenggara,Nanggroe Aceh Darussalam,PHOBS
5227,Pos Hujan,11021301a,3.57647,97.85,,,Kab. Aceh Tenggara,Nanggroe Aceh Darussalam,PHOBS
5228,Pos Hujan,11021401a,3.4925,97.8874,,,Kab. Aceh Tenggara,Nanggroe Aceh Darussalam,PHOBS
5229,Pos Hujan,11021501a,3.2983,97.6531,,,Kab. Aceh Tenggara,Nanggroe Aceh Darussalam,PHOBS
5230,Pos Hujan,11021601a,3.77656,97.71,,,Kab. Aceh Tenggara,Nanggroe Aceh Darussalam,PHOBS
5231,Pos Hujan,11030101a,4.98,97.7,,,Kab. Aceh Timur,Nanggroe Aceh Darussalam,PHOBS
5232,Pos Hujan,11030201a,5.067,97.575,,,Kab. Aceh Timur,Nanggroe Aceh Darussalam,PHOBS
5233,Pos Hujan,11030301a,4.9514,97.7749,,,Kab. Aceh Timur,Nanggroe Aceh Darussalam,PHOBS
5234,Pos Hujan,11030401a,4.54462,97.93193,,,Kab. Aceh Timur,Nanggroe Aceh Darussalam,PHOBS
5235,Pos Hujan,11030501a,4.59,97.53,,,Kab. Aceh Timur,Nanggroe Aceh Darussalam,PHOBS
5236,Pos Hujan,11740501a,4.484,97.934,,,Kota Langsa,Nanggroe Aceh Darussalam,PHOBS
5237,Pos Hujan,11030701a,4.82732,97.89052,,,Kab. Aceh Timur,Nanggroe Aceh Darussalam,PHOBS
5238,Pos Hujan,11030801a,4.60019,97.89607,,,Kab. Aceh Timur,Nanggroe Aceh Darussalam,PHOBS
5239,Pos Hujan,11030901a,5.09138,97.54395,,,Kab. Aceh Timur,Nanggroe Aceh Darussalam,PHOBS
5240,Pos Hujan,11031001a,4.81,97.78,,,Kab. Aceh Timur,Nanggroe Aceh Darussalam,PHOBS
5241,Pos Hujan,11031101a,5.05253,97.51814,,,Kab. Aceh Timur,Nanggroe Aceh Darussalam,PHOBS
5242,Pos Hujan,11031201a,5.168,97.501,,,Kab. Aceh Timur,Nanggroe Aceh Darussalam,PHOBS
5243,Pos Hujan,11031301a,4.84,97.59,,,Kab. Aceh Timur,Nanggroe Aceh Darussalam,PHOBS
5244,Pos Hujan,11031501a,4.85,97.69,,,Kab. Aceh Timur,Nanggroe Aceh Darussalam,PHOBS
5245,Pos Hujan,11031601a,4.88752,97.84315,,,Kab. Aceh Timur,Nanggroe Aceh Darussalam,PHOBS
5246,Pos Hujan,11031701a,4.73842,97.89403,,,Kab. Aceh Timur,Nanggroe Aceh Darussalam,PHOBS
5247,Pos Hujan,11031901a,4.66354,97.92158,,,Kab. Aceh Timur,Nanggroe Aceh Darussalam,PHOBS
